ID,ServiceName,ServiceType,Suburb,Postcode,Size,OverallRating,Long Day Care,Preschool/Kinder - Part of a School,Preschool/Kinder - Standalone,After School Care,Before School Care,Vacation Care,Temporarily Closed,Cost Per Day
207,Abeles Liberman Preschool,Centre-Based Care,CAULFIELD SOUTH,3162,155,Exceeding NQS,Yes,No,No,No,No,No,No,50
208,Murrumbeena Early Learning Centre,Centre-Based Care,MURRUMBEENA,3163,48,Exceeding NQS,Yes,No,No,No,No,No,No,82
209,Caulfield Early Learning Centre,Centre-Based Care,CAULFIELD,3162,57,Exceeding NQS,Yes,No,No,No,No,No,No,100
210,Carnegie Early Learning Centre,Centre-Based Care,CARNEGIE,3163,35,Exceeding NQS,Yes,No,No,No,No,No,No,182
211,Gilly's Early Learning Centre,Centre-Based Care,BALACLAVA,3183,60,Exceeding NQS,Yes,No,No,No,No,No,No,54
212,Chaya's Creche,Centre-Based Care,ELSTERNWICK,3185,31,Exceeding NQS,Yes,No,No,No,No,No,No,63
213,Szalmuk Family Early Learning Centre,Centre-Based Care,ST KILDA EAST,3183,250,Exceeding NQS,Yes,No,No,No,No,No,No,52
214,Roseberry House Early Learning Centre,Centre-Based Care,GLEN HUNTLY,3163,81,Meeting NQS,Yes,No,No,No,No,No,No,69
215,Shelford Early Discovery Centre,Centre-Based Care,CAULFIELD,3162,50,Exceeding NQS,Yes,No,No,No,No,No,No,120
216,Charlton & District Kindergarten,Centre-Based Care,CHARLTON,3525,28,Exceeding NQS,No,No,Yes,No,No,No,No,130
217,Nola Barber Kindergarten,Centre-Based Care,ASPENDALE,3195,44,Meeting NQS,No,No,Yes,No,No,No,No,197
218,Aspendale North Kindergarten,Centre-Based Care,ASPENDALE,3195,33,Meeting NQS,No,No,Yes,No,No,No,No,137
219,Edithvale Preschool Centre,Centre-Based Care,EDITHVALE,3196,27,Exceeding NQS,No,No,Yes,No,No,No,No,97
220,Kindy Patch Chelsea,Centre-Based Care,CHELSEA,3196,70,Meeting NQS,Yes,No,No,No,No,No,No,94
221,Chelsea World of Learning 1,Centre-Based Care,CHELSEA,3196,49,Meeting NQS,Yes,No,No,No,No,No,No,114
222,Bonbeach Preschool,Centre-Based Care,BONBEACH,3196,58,Exceeding NQS,No,Yes,No,No,No,No,No,65
223,Patterson Lakes World of Learning,Centre-Based Care,CARRUM,3197,52,Meeting NQS,Yes,No,No,No,No,No,No,152
224,Eilleen Taylor Kindergarten,Centre-Based Care,COBRAM,3644,36,Meeting NQS,No,No,Yes,No,No,No,No,62
225,Punt Road Kindergarten and Childcare Centre,Centre-Based Care,COBRAM,3644,63,Working Towards NQS,Yes,No,No,No,No,No,No,170
226,Lake Park Kindergarten,Centre-Based Care,COBURG NORTH,3058,30,Meeting NQS,No,No,Yes,No,No,No,No,79
227,St Linus Kindergarten,Centre-Based Care,MERLYNSTON,3058,28,Exceeding NQS,No,No,Yes,No,No,No,No,152
228,Derby Street Children's Centre,Centre-Based Care,PASCOE VALE,3044,76,Exceeding NQS,Yes,No,No,No,No,No,No,66
229,Kent Road Uniting Church Preschool,Centre-Based Care,PASCOE VALE,3044,33,Meeting NQS,No,No,Yes,No,No,No,No,81
230,Brentwood Kindergarten,Centre-Based Care,PASCOE VALE SOUTH,3044,30,Exceeding NQS,No,No,Yes,No,No,No,No,63
231,Doris Blackburn Preschool Centre,Centre-Based Care,PASCOE VALE SOUTH,3044,53,Exceeding NQS,No,No,Yes,No,No,No,No,71
232,Pascoe Vale South Uniting Church Kindergarten,Centre-Based Care,PASCOE VALE SOUTH,3044,33,Meeting NQS,No,No,Yes,No,No,No,No,131
233,Turner Street Kindergarten,Centre-Based Care,PASCOE VALE SOUTH,3044,29,Exceeding NQS,No,No,Yes,No,No,No,No,193
234,Shirley Robertson Childrens Centre,Centre-Based Care,COBURG,3058,75,Exceeding NQS,Yes,No,No,No,No,No,No,144
235,Coburg & Pascoe Vale South Child Care Centre,Centre-Based Care,PASCOE VALE SOUTH,3044,45,Meeting NQS,Yes,No,No,No,No,No,No,175
236,Anne Sgro Children's Centre,Centre-Based Care,COBURG,3058,82,Exceeding NQS,Yes,No,No,No,No,No,No,159
237,Antonine Sisters Child Care Centre,Centre-Based Care,COBURG,3058,50,Meeting NQS,Yes,No,No,No,No,No,No,175
238,Barry Beckett Children's Centre,Centre-Based Care,COBURG,3058,93,Meeting NQS,Yes,No,No,No,No,No,No,131
239,Community Kids Pascoe Vale Early Education Centre,Centre-Based Care,PASCOE VALE SOUTH,3044,65,Meeting NQS,Yes,No,No,No,No,No,No,124
240,Newlands Preschool,Centre-Based Care,COBURG,3058,32,Meeting NQS,No,No,Yes,No,No,No,No,119
241,Moreland Kindergarten,Centre-Based Care,COBURG,3058,25,Meeting NQS,No,Yes,No,No,No,No,No,67
242,Kids on the Avenue Children's Centre,Centre-Based Care,MORELAND,3058,72,Meeting NQS,Yes,No,No,No,No,No,No,188
243,Cohuna & District Preschool Centre,Centre-Based Care,COHUNA,3568,30,Meeting NQS,No,No,Yes,No,No,No,No,149
244,Leitchville Preschool Play Centre,Centre-Based Care,LEITCHVILLE,3567,33,Exceeding NQS,No,No,Yes,No,No,No,No,83
245,Colac East Kindergarten,Centre-Based Care,COLAC,3250,33,Exceeding NQS,No,No,Yes,No,No,No,No,78
246,Winifred Nance Kindergarten,Centre-Based Care,COLAC,3250,33,Exceeding NQS,No,No,Yes,No,No,No,No,128
247,Wydinia Kindergarten & Early Learning Centre,Centre-Based Care,COLAC,3250,48,Meeting NQS,Yes,No,Yes,No,No,No,No,150
248,Millville Children's Centre,Centre-Based Care,COLAC,3250,85,Exceeding NQS,Yes,No,No,No,No,No,No,153
249,Apex Preschool,Centre-Based Care,ELLIMINYT,3250,69,Exceeding NQS,No,No,Yes,No,No,No,No,193
250,Rupert Street Child Care & Kindergarten - BUC,Centre-Based Care,COLLINGWOOD,3066,77,Meeting NQS,Yes,No,No,No,No,No,No,169
251,The University of Melbourne Early Learning Centre,Centre-Based Care,ABBOTSFORD,3067,90,Exceeding NQS,Yes,No,No,No,No,No,No,87
252,Gold Street Child Care Centre,Centre-Based Care,COLLINGWOOD,3066,52,Meeting NQS,Yes,No,No,No,No,No,No,85
253,Corio Kindergarten,Centre-Based Care,CORIO,3214,58,Meeting NQS,No,No,Yes,No,No,No,No,92
254,William Hovell Preschool,Centre-Based Care,CORIO,3214,32,Exceeding NQS,No,No,Yes,No,No,No,No,173
255,Bell Post Hill Kindergarten,Centre-Based Care,BELL POST HILL,3215,60,Meeting NQS,No,No,Yes,No,No,No,No,168
256,William Parker Memorial Kindergarten,Centre-Based Care,HAMLYN HEIGHTS,3215,27,Exceeding NQS,No,No,Yes,No,No,No,No,153
257,Lara Kindergarten,Centre-Based Care,LARA,3212,33,Meeting NQS,No,No,Yes,No,No,No,No,155
258,Flinders Kindergarten,Centre-Based Care,LARA,3212,30,Exceeding NQS,No,No,Yes,No,No,No,No,56
259,Norlane West Kindergarten,Centre-Based Care,NORLANE,3214,52,Meeting NQS,No,No,Yes,No,No,No,No,151
260,Bell Park Kindergarten,Centre-Based Care,BELL PARK,3215,72,Meeting NQS,No,No,Yes,No,No,No,No,187
261,Covenant College Kindergarten,Centre-Based Care,BELL POST HILL,3215,30,Meeting NQS,No,No,Yes,No,No,No,No,128
262,Regans Road Kindergarten,Centre-Based Care,HAMPTON PARK,3976,30,Exceeding NQS,No,No,Yes,No,No,No,No,156
263,Langwarrin Preschool,Centre-Based Care,LANGWARRIN,3910,29,Exceeding NQS,No,No,Yes,No,No,No,No,188
264,Bayles Kindergarten,Centre-Based Care,BAYLES,3981,28,Exceeding NQS,No,No,Yes,No,No,No,No,140
265,Koo Wee Rup Preschool,Centre-Based Care,KOO WEE RUP,3981,27,Meeting NQS,No,No,Yes,No,No,No,No,176
266,Pearcedale Kindergarten,Centre-Based Care,PEARCEDALE,3912,30,Exceeding NQS,No,No,Yes,No,No,No,No,165
267,Valley Brook Kindergarten,Centre-Based Care,HAMPTON PARK,3976,30,Exceeding NQS,No,No,Yes,No,No,No,No,54
268,Wonnai Kindergarten,Centre-Based Care,LANGWARRIN,3910,30,Exceeding NQS,No,No,Yes,No,No,No,No,145
269,Clarendon Street Community Child Care Centre,Centre-Based Care,CRANBOURNE,3977,36,Working Towards NQS,Yes,No,No,No,No,No,No,119
270,Botany Park Preschool,Centre-Based Care,CARRUM DOWNS,3201,30,Meeting NQS,No,No,Yes,No,No,No,No,135
271,Rangebank Kindergarten,Centre-Based Care,CRANBOURNE,3977,30,Exceeding NQS,No,No,Yes,No,No,No,No,65
272,Hampton Park East Kindergarten,Centre-Based Care,HAMPTON PARK,3976,30,Exceeding NQS,No,No,Yes,No,No,No,No,198
273,Langwarrin Park Preschool,Centre-Based Care,LANGWARRIN,3910,90,Exceeding NQS,No,No,Yes,No,No,No,No,181
274,Bowerbird Kindergarten,Centre-Based Care,CARRUM DOWNS,3201,29,Exceeding NQS,No,No,Yes,No,No,No,No,112
275,Veronica Street Children's Centre,Centre-Based Care,LANGWARRIN,3910,35,Meeting NQS,Yes,No,No,No,No,No,No,58
276,Cranbourne Day Care & Kindergarten Centre Pty Ltd - Cranbourne Drive,Centre-Based Care,CRANBOURNE,3977,150,Meeting NQS,Yes,No,No,No,No,No,No,109
277,Coral Drive Kindergarten,Centre-Based Care,HAMPTON PARK,3976,30,Working Towards NQS,No,No,Yes,No,No,No,No,107
278,Woodbine Road Preschool,Centre-Based Care,CRANBOURNE,3977,56,Meeting NQS,No,No,Yes,No,No,No,No,154
279,Cranbourne Day Care & Kindergarten Centre Pty Ltd - Cameron Street,Centre-Based Care,CRANBOURNE,3977,72,Meeting NQS,Yes,No,No,No,No,No,No,160
280,Rowellyn Preschool,Centre-Based Care,CARRUM DOWNS,3201,27,Meeting NQS,No,No,Yes,No,No,No,No,64
281,Cranbourne Day Care & Kindergarten Centre Pty Ltd - The Barn,Centre-Based Care,CRANBOURNE,3977,40,Meeting NQS,Yes,No,No,No,No,No,No,134
282,Pearcedale Day Care & Kindergarten Centre,Centre-Based Care,PEARCEDALE,3912,60,Meeting NQS,Yes,No,No,No,No,No,No,94
283,Cranbourne Day Care & Kindergarten Centre Pty Ltd - Mundaring Drive,Centre-Based Care,CRANBOURNE,3977,90,Meeting NQS,Yes,No,No,No,No,No,No,132
284,Kids Paradise Childcare Pty Ltd,Centre-Based Care,CARRUM DOWNS,3201,68,Meeting NQS,Yes,No,No,No,No,No,No,95
285,Cricklewood Child Care Centre,Centre-Based Care,LANGWARRIN,3910,94,Meeting NQS,Yes,No,No,No,No,No,No,138
286,Green Kids Early Learning,Centre-Based Care,HAMPTON PARK,3976,83,Meeting NQS,Yes,No,No,No,No,No,No,63
287,Cranbourne Day Care & Kindergarten Centre Pty Ltd - Duff Street,Centre-Based Care,CRANBOURNE,3977,50,Meeting NQS,Yes,No,No,No,No,No,No,179
288,Creswick & District Preschool,Centre-Based Care,CRESWICK,3363,55,Meeting NQS,No,No,Yes,No,No,No,No,98
289,Brentwood Park Kindergarten,Centre-Based Care,CROYDON,3136,51,Exceeding NQS,No,No,Yes,No,No,No,No,188
290,Croydon Central Kindergarten,Centre-Based Care,CROYDON,3136,27,Exceeding NQS,No,No,Yes,No,No,No,Yes,104
291,Lipscombe Park Kindergarten,Centre-Based Care,CROYDON,3136,29,Exceeding NQS,No,No,Yes,No,No,No,No,189
292,St Johns Kindergarten,Centre-Based Care,CROYDON,3136,30,Exceeding NQS,No,No,Yes,No,No,No,No,60
293,Pinjarra Kindergarten,Centre-Based Care,CROYDON SOUTH,3136,28,Working Towards NQS,No,No,Yes,No,No,No,No,103
294,Melbourne Rudolf Steiner Kindergarten,Centre-Based Care,WARRANWOOD,3134,70,Exceeding NQS,No,No,Yes,Yes,No,No,No,77
295,Barngeong Reserve Kindergarten,Centre-Based Care,CROYDON NORTH,3136,50,Meeting NQS,No,No,Yes,No,No,No,No,194
296,Arrabri Kindergarten Inc,Centre-Based Care,BAYSWATER NORTH,3153,29,Meeting NQS,No,No,Yes,No,No,No,No,98
297,Kurboroo Kindergarten,Centre-Based Care,WARRANWOOD,3134,33,Meeting NQS,No,No,Yes,No,No,No,No,194
298,Croydon Early Learning and Childcare Centre,Centre-Based Care,CROYDON,3136,52,Meeting NQS,Yes,No,No,No,No,No,No,72
299,Hewish Road Child Care Centre,Centre-Based Care,CROYDON,3136,47,Meeting NQS,Yes,No,No,No,No,No,No,117
300,Swinburne Children's Centre,Centre-Based Care,CROYDON,3136,66,Exceeding NQS,Yes,No,No,No,No,No,No,102
301,Dorset Early Learning & Kindergarten,Centre-Based Care,CROYDON,3136,49,Meeting NQS,Yes,No,No,No,No,No,No,173
302,Swinburne Children's Centre Croydon,Centre-Based Care,CROYDON,3136,55,Exceeding NQS,Yes,No,No,No,No,No,No,93
303,Kardinia Child Care Centre,Centre-Based Care,WARRANWOOD,3134,60,Working Towards NQS,Yes,No,No,No,No,No,No,181
304,Community Kids Bayswater Early Education Centre,Centre-Based Care,BAYSWATER NORTH,3153,51,Meeting NQS,Yes,No,No,No,No,No,No,146
305,Dandenong North East Kindergarten,Centre-Based Care,DANDENONG,3175,54,Exceeding NQS,No,No,Yes,No,No,No,No,97
306,Dandenong North Preschool,Centre-Based Care,DANDENONG,3175,57,Meeting NQS,No,No,Yes,No,No,No,No,181
307,Dandenong South Preschool,Centre-Based Care,DANDENONG,3175,62,Meeting NQS,No,No,Yes,No,No,No,No,56
308,Heritage Preschool,Centre-Based Care,DANDENONG NORTH,3175,56,Meeting NQS,No,No,Yes,No,No,No,No,179
309,Shalimar Park Preschool,Centre-Based Care,DANDENONG NORTH,3175,57,Exceeding NQS,No,No,Yes,No,No,No,No,181
310,Rosswood Preschool,Centre-Based Care,DANDENONG NORTH,3175,33,Meeting NQS,No,No,Yes,No,No,No,No,137
311,Fifth Avenue Day Care Centre,Centre-Based Care,DANDENONG,3175,46,Meeting NQS,Yes,No,No,No,No,No,No,106
312,Dandenong Day Nursery,Centre-Based Care,DANDENONG NORTH,3175,54,Meeting NQS,Yes,No,No,No,No,No,No,73
313,Rosewood Downs Child Care Centre,Centre-Based Care,DANDENONG,3175,70,Meeting NQS,Yes,No,No,Yes,Yes,No,No,103
314,being3 Early Learning,Centre-Based Care,DANDENONG,3175,41,Working Towards NQS,Yes,No,No,No,No,No,No,183
315,Daylesford Preschool,Centre-Based Care,DAYLESFORD,3460,39,Exceeding NQS,No,No,Yes,No,No,No,No,108
316,Daylesford Community Child Care,Centre-Based Care,DAYLESFORD,3460,79,Working Towards NQS,Yes,No,No,Yes,Yes,Yes,No,99
317,Hepburn Kindergarten,Centre-Based Care,HEPBURN SPRINGS,3461,26,Meeting NQS,No,No,Yes,No,No,No,No,181
318,Shine Bright Tongala Kindergarten,Centre-Based Care,TONGALA,3621,30,Exceeding NQS,No,No,Yes,No,No,No,No,123
319,Briar Hill Preschool,Centre-Based Care,BRIAR HILL,3088,30,Exceeding NQS,No,No,Yes,No,No,No,No,159
320,Bundoora Preschool,Centre-Based Care,BUNDOORA,3083,30,Exceeding NQS,No,No,Yes,No,No,No,No,52
321,Milestones Early Learning Greensborough,Centre-Based Care,GREENSBOROUGH,3088,75,Exceeding NQS,Yes,No,No,No,No,No,No,131
322,Warrawee Park Preschool,Centre-Based Care,BUNDOORA,3083,27,Meeting NQS,No,No,Yes,No,No,No,No,51
323,Diamond Creek Memorial Preschool,Centre-Based Care,DIAMOND CREEK,3089,30,Exceeding NQS,No,No,Yes,No,No,No,No,200
324,Apollo Parkways Preschool,Centre-Based Care,GREENSBOROUGH,3088,30,Exceeding NQS,No,No,Yes,No,No,No,No,96
325,TRY Grace Park Preschool,Centre-Based Care,GREENSBOROUGH,3088,33,Exceeding NQS,No,No,Yes,No,No,No,No,52
326,Greenhills Preschool,Centre-Based Care,GREENSBOROUGH,3088,30,Exceeding NQS,No,No,Yes,No,No,No,No,57
327,Greensborough Preschool,Centre-Based Care,GREENSBOROUGH,3088,30,Exceeding NQS,No,No,Yes,No,No,No,No,83
328,Yandell Kindergarten,Centre-Based Care,GREENSBOROUGH,3088,30,Meeting NQS,No,No,Yes,No,No,No,No,69
329,Watsonia North Preschool,Centre-Based Care,WATSONIA,3087,30,Exceeding NQS,No,No,Yes,No,No,No,No,61
330,Watsonia Preschool,Centre-Based Care,WATSONIA,3087,29,Exceeding NQS,No,No,Yes,No,No,No,No,166
331,Eltham North Preschool,Centre-Based Care,ELTHAM,3095,30,Exceeding NQS,No,No,Yes,No,No,No,No,63
332,Yarrambat / Plenty Preschool,Centre-Based Care,YARRAMBAT,3091,60,Meeting NQS,No,No,Yes,No,No,No,No,54
333,Delta Road Preschool,Centre-Based Care,WATSONIA,3087,29,Meeting NQS,No,No,Yes,No,No,No,No,151
334,Wahroonga Preschool,Centre-Based Care,GREENSBOROUGH,3088,28,Exceeding NQS,No,No,Yes,No,No,No,No,124
335,Diamond Hills Preschool,Centre-Based Care,GREENSBOROUGH,3088,30,Exceeding NQS,No,No,Yes,No,No,No,No,71
336,Plenty Valley International Montessori School,Centre-Based Care,ST HELENA,3088,133,Exceeding NQS,Yes,No,No,No,No,No,No,165
337,Joyce Avenue Children's Centre,Centre-Based Care,GREENSBOROUGH,3088,39,Meeting NQS,Yes,No,No,No,No,No,No,108
338,Occasional Child Care Centre Diamond Creek,Centre-Based Care,DIAMOND CREEK,3089,56,Exceeding NQS,Yes,No,No,No,No,No,No,123
339,Jeparit Kindergarten,Centre-Based Care,JEPARIT,3423,26,Meeting NQS,No,No,Yes,No,No,No,No,142
340,Bulleen Preschool,Centre-Based Care,BULLEEN,3105,30,Exceeding NQS,No,No,Yes,No,No,No,No,96
341,Vista Valley Kindergarten,Centre-Based Care,BULLEEN,3105,29,Meeting NQS,No,No,Yes,No,No,No,No,200
342,Doncaster Park Kindergarten,Centre-Based Care,DONCASTER,3108,30,Exceeding NQS,No,No,Yes,No,No,No,No,193
343,TRY Beverley Hills Preschool,Centre-Based Care,DONCASTER EAST,3109,30,Meeting NQS,No,Yes,No,No,No,No,No,61
344,Doncaster East Preschool Centre,Centre-Based Care,DONCASTER EAST,3109,29,Exceeding NQS,No,No,Yes,No,No,No,No,85
345,Tunstall Square Kindergarten,Centre-Based Care,DONCASTER EAST,3109,28,Exceeding NQS,No,No,Yes,No,No,No,No,86
346,Catjump Preschool,Centre-Based Care,DONCASTER EAST,3109,25,Exceeding NQS,No,No,Yes,No,No,No,No,84
347,Donvale Preschool,Centre-Based Care,DONVALE,3111,28,Exceeding NQS,No,No,Yes,No,No,No,No,73
348,Park Orchards Kindergarten,Centre-Based Care,PARK ORCHARDS,3114,30,Exceeding NQS,No,No,Yes,No,No,No,No,92
349,Templestowe Preschool,Centre-Based Care,TEMPLESTOWE,3106,29,Meeting NQS,No,No,Yes,No,No,No,No,53
350,Yarra Valley Preschool,Centre-Based Care,TEMPLESTOWE,3106,26,Exceeding NQS,No,No,Yes,No,No,No,No,122
351,Noni's Nursery,Centre-Based Care,TEMPLESTOWE,3106,26,Meeting NQS,Yes,No,No,No,No,No,No,104
352,Templestowe Heights Preschool,Centre-Based Care,TEMPLESTOWE LOWER,3107,30,Exceeding NQS,No,No,Yes,No,No,No,No,193
353,Twin Hills Preschool,Centre-Based Care,TEMPLESTOWE LOWER,3107,29,Meeting NQS,No,No,Yes,No,No,No,No,60
354,Warrandyte Kindergarten,Centre-Based Care,WARRANDYTE,3113,29,Exceeding NQS,No,No,Yes,No,No,No,No,156
355,Yarraleen Preschool,Centre-Based Care,BULLEEN,3105,28,Exceeding NQS,No,No,Yes,No,No,No,No,157
356,Templestowe Valley Preschool,Centre-Based Care,TEMPLESTOWE LOWER,3107,50,Meeting NQS,No,No,Yes,No,No,No,No,158
357,Kalker Montessori Centre,Centre-Based Care,BULLEEN,3105,90,Exceeding NQS,No,No,Yes,No,No,No,No,182
358,Deep Creek Preschool,Centre-Based Care,DONCASTER EAST,3109,30,Meeting NQS,No,No,Yes,No,No,No,No,96
359,Gumnut Gully Preschool,Centre-Based Care,DONCASTER EAST,3109,27,Exceeding NQS,No,No,Yes,No,No,No,No,172
360,Doncaster East Daycare & Kindergarten,Centre-Based Care,DONCASTER EAST,3109,45,Exceeding NQS,Yes,No,No,No,No,No,No,121
361,Doncaster Early Learning Child Care,Centre-Based Care,DONCASTER,3108,45,Meeting NQS,Yes,No,No,No,No,No,No,165
362,Moresby Avenue Child Care Centre,Centre-Based Care,BULLEEN,3105,39,Exceeding NQS,Yes,No,No,No,No,No,No,74
363,Warrandyte Child Care & Preschool Centre Co-op Ltd,Centre-Based Care,WARRANDYTE,3113,38,Meeting NQS,Yes,No,No,No,No,No,No,198
364,Deep Creek Child Care Centre,Centre-Based Care,DONCASTER EAST,3109,48,Exceeding NQS,Yes,No,No,No,No,No,No,187
365,Imagine Childcare and Kindergarten Templestowe,Centre-Based Care,TEMPLESTOWE,3106,50,Meeting NQS,Yes,No,No,No,No,No,No,116
366,Carey Early Learning Centre Donvale,Centre-Based Care,DONVALE,3111,32,Exceeding NQS,No,Yes,No,No,No,No,No,183
367,Montessori Early Education Centre,Centre-Based Care,DONVALE,3111,95,Exceeding NQS,No,No,Yes,No,No,No,No,61
368,Wonderworld Childcare & Kinder,Centre-Based Care,BULLEEN,3105,60,Meeting NQS,Yes,No,No,No,No,No,No,162
369,Minikins Kindergarten Childcare Centre,Centre-Based Care,DONCASTER EAST,3109,48,Meeting NQS,Yes,No,No,No,No,No,No,93
370,Minyip Kindergarten,Centre-Based Care,MINYIP,3392,23,Working Towards NQS,No,No,Yes,No,No,No,No,65
371,Murtoa Kindergarten,Centre-Based Care,MURTOA,3390,23,Meeting NQS,No,No,Yes,No,No,No,No,160
372,Rupanyup Kindergarten,Centre-Based Care,RUPANYUP,3388,28,Meeting NQS,No,No,Yes,No,No,No,No,78
373,Shine Bright Neangar Kindergarten,Centre-Based Care,CALIFORNIA GULLY,3556,33,Meeting NQS,No,No,Yes,No,No,No,No,94
374,Shine Bright Echuca Central Kindergarten,Centre-Based Care,ECHUCA,3564,30,Exceeding NQS,No,No,Yes,No,No,No,No,180
375,Shine Bright Echuca East Kindergarten,Centre-Based Care,ECHUCA,3564,30,Exceeding NQS,No,No,Yes,No,No,No,No,179
376,Shine Bright Echuca South Community Kindergarten,Centre-Based Care,ECHUCA SOUTH,3564,58,Exceeding NQS,No,No,Yes,No,No,No,No,139
377,Eltham Preschool,Centre-Based Care,ELTHAM,3095,25,Exceeding NQS,No,No,Yes,No,No,No,No,140
378,Eltham South Preschool,Centre-Based Care,ELTHAM,3095,30,Exceeding NQS,No,No,Yes,No,No,No,No,146
379,Lower Plenty Kindergarten,Centre-Based Care,LOWER PLENTY,3093,26,Exceeding NQS,No,No,Yes,No,No,No,No,191
380,Panorama Heights Preschool,Centre-Based Care,MONTMORENCY SOUTH,3094,48,Exceeding NQS,No,No,Yes,No,No,No,No,163
381,Panton Hill Preschool,Centre-Based Care,PANTON HILL,3759,30,Meeting NQS,No,No,Yes,No,No,No,No,127
382,Research Preschool,Centre-Based Care,RESEARCH,3095,29,Exceeding NQS,No,No,Yes,No,No,No,No,185
383,Eltham College Early Learning Centre,Centre-Based Care,RESEARCH,3095,91,Exceeding NQS,Yes,No,No,No,No,No,No,129
384,Hurstbridge Preschool,Centre-Based Care,HURSTBRIDGE,3099,30,Meeting NQS,No,No,Yes,No,No,No,No,89
385,Woodridge Preschool,Centre-Based Care,ELTHAM,3095,66,Exceeding NQS,No,No,Yes,No,No,No,No,106
386,Sherbourne Preschool,Centre-Based Care,MONTMORENCY,3094,30,Exceeding NQS,No,No,Yes,No,No,No,No,188
387,Ferguson Park Kindergarten,Centre-Based Care,HURSTBRIDGE,3099,27,Meeting NQS,No,No,Yes,No,No,No,No,157
388,Eltham Woods Preschool,Centre-Based Care,ELTHAM,3095,30,Exceeding NQS,No,No,Yes,No,No,No,No,74
389,Eltham Learning Centre for Children,Centre-Based Care,ELTHAM,3095,41,Meeting NQS,Yes,No,No,No,No,No,No,113
390,Eltham Child Care Co-op Ltd,Centre-Based Care,ELTHAM,3095,77,Exceeding NQS,Yes,No,No,No,No,No,No,178
391,Eltham Woods Child Care Centre Co-op,Centre-Based Care,ELTHAM,3095,47,Exceeding NQS,Yes,No,No,No,No,No,No,158
392,Meruka Child Care Centre,Centre-Based Care,ELTHAM,3095,50,Exceeding NQS,Yes,No,No,No,No,No,No,167
393,Goodstart Early Learning Lower Plenty,Centre-Based Care,LOWER PLENTY,3093,120,Working Towards NQS,Yes,No,No,No,No,No,No,196
394,St Andrews Kindergarten,Centre-Based Care,ABERFELDIE,3040,33,Exceeding NQS,No,No,Yes,No,No,No,No,114
395,Ascot Kindergarten,Centre-Based Care,ASCOT VALE,3032,30,Meeting NQS,No,No,Yes,No,No,No,No,78
396,Coronation Kindergarten,Centre-Based Care,ASCOT VALE,3032,30,Exceeding NQS,No,No,Yes,No,No,No,No,125
397,Ascot Vale Progress Kindergarten,Centre-Based Care,ASCOT VALE WEST,3032,28,Exceeding NQS,No,No,Yes,No,No,No,No,196
398,Ave Maria Kindergarten,Centre-Based Care,ABERFELDIE,3040,60,Exceeding NQS,No,No,Yes,No,No,No,No,115
399,Beaver Street Kindergarten,Centre-Based Care,ESSENDON,3040,31,Exceeding NQS,No,No,Yes,No,No,No,No,133
400,Penleigh & Essendon Grammar School - Raleigh St Kindergarten,Centre-Based Care,ESSENDON,3040,90,Exceeding NQS,No,Yes,No,No,No,No,No,136
401,Northwest Montessori Preschool,Centre-Based Care,ESSENDON,3040,24,Meeting NQS,No,No,Yes,No,No,No,No,109
402,Strathmore Community Kindergarten,Centre-Based Care,STRATHMORE,3041,33,Meeting NQS,No,No,Yes,No,No,No,No,140
403,Strathmore Heights Kindergarten,Centre-Based Care,STRATHMORE,3041,30,Exceeding NQS,No,No,Yes,No,No,No,No,85
404,St Aidans Preschool,Centre-Based Care,STRATHMORE,3041,28,Meeting NQS,No,No,Yes,No,No,No,No,106
405,Montgomery Park Kindergarten,Centre-Based Care,ESSENDON,3040,31,Exceeding NQS,No,No,Yes,No,No,No,No,95
406,Wingate Avenue Childrens Co-op,Centre-Based Care,ASCOT VALE,3032,62,Meeting NQS,Yes,No,No,No,No,No,No,78
407,Strathmore Children's Centre,Centre-Based Care,STRATHMORE,3041,81,Exceeding NQS,Yes,No,No,No,No,No,No,104
408,Montgomery Park Children's Centre,Centre-Based Care,ESSENDON,3040,85,Meeting NQS,Yes,No,No,No,No,No,No,62
409,North Essendon Kindergarten,Centre-Based Care,ESSENDON NORTH,3041,28,Exceeding NQS,No,No,Yes,No,No,No,No,134
410,Hotham Hub Children's Centre,Centre-Based Care,NORTH MELBOURNE,3051,78,Exceeding NQS,Yes,No,No,No,No,No,No,129
